playerID,year,stint,tmID,dRebounds,dq,pos,height,weight,college,birthYear,award,confID,rank,playoff,firstRound,semis,finals,won,lost,homeW,homeL,awayW,awayL,confW,confL,min,attend,W,L,PER,TS%,eFG%,stocks
anderch01w,8,0,SAS,14,0,C,78.0,190,1,1981,[],WE,2,1,100,010,001,20,14,9,8,11,6,13,9,6875,128680,2.0,3.0,19.036047440877173,55.379746835443036,50.0,6
anderjo01w,9,0,CON,47,0,G,68.0,166,1,1986,[],EA,2,1,010,001,001,21,13,13,4,8,9,13,7,6850,129951,1.0,2.0,9.523499525811115,36.57616892911011,34.12698412698413,8
anderke01w,1,0,WAS,34,0,G,67.0,125,1,1974,[],EA,4,1,010,001,001,14,18,7,9,7,9,13,8,6400,244134,0.0,2.0,7.377823869137426,49.3940990516333,44.85294117647059,28
anderke01w,2,0,CHA,12,0,G,67.0,125,1,1974,[],EA,4,1,100,100,010,18,14,11,5,7,9,15,6,6500,105525,4.0,4.0,-3.514959971537145,29.411764705882355,12.5,6
anderke01w,3,0,CHA,4,0,G,67.0,125,1,1974,[],EA,2,1,010,001,001,18,14,11,5,7,9,12,9,6450,106670,0.0,2.0,6.033557152721046,29.166666666666668,29.166666666666668,0
andrame01w,1,0,CLE,63,1,F,71.0,165,1,1975,[],EA,2,1,100,010,001,17,15,13,3,4,12,13,8,6500,137532,3.0,3.0,16.50802664374244,57.55864465682016,52.56410256410257,51
andrame01w,2,0,CLE,66,0,F,71.0,165,1,1975,[],EA,1,1,010,001,001,22,10,14,2,8,8,15,6,6425,147373,1.0,2.0,7.926908039811528,39.832285115303975,35.67251461988304,61
andrame01w,3,0,CLE,39,2,F,71.0,165,1,1975,[],EA,7,0,001,001,001,10,22,4,12,6,10,7,14,6550,149084,0.0,0.0,5.580693890285177,37.56605019815059,32.88288288288289,35
andrame01w,5,0,CHA,3,0,F,71.0,165,1,1975,[],EA,5,0,001,001,001,16,18,10,7,6,11,8,12,6900,116383,0.0,0.0,4.512453600794045,54.08653846153846,42.857142857142854,1
anosini01w,9,0,MIN,153,2,C,75.0,211,1,1986,[],WE,7,0,001,001,001,16,18,9,8,7,10,8,12,6900,118463,0.0,0.0,22.34768138424178,52.50133761369716,43.80530973451327,118
