playerID,year,PER,eFG%,TS%,stocks,dRebounds,dar,legacy_points,tmID,playoff,coachID,confID
abrossv01w,3,13.22698499674013,28.89711861312859,33.48985275165735,34.9643435980551,131,0.26595744680851063,12,MIN,0.0,"['aglerbr99w', 'vandehe99w']",WE
abrossv01w,4,10.371122294354107,26.630746979053402,27.904032999905326,33.92220421393841,101,0.24596273291925466,10,MIN,1.0,['mcconsu01w'],WE
abrossv01w,5,11.864570561328927,28.037191845090852,31.101006450776698,35.29983792544571,97,0.2474747474747475,18,MIN,1.0,['mcconsu01w'],WE
abrossv01w,6,5.445753722281069,15.891468348821755,17.16317011477126,11.980551053484604,57,0.22943722943722944,18,MIN,0.0,['mcconsu01w'],WE
abrossv01w,7,11.388235554114837,28.631262772179554,31.062010191571154,34.00162074554295,78,0.2072072072072072,14,MIN,0.0,"['jenkica99w', 'mcconsu01w']",WE
abrossv01w,8,8.958925204018636,27.022737513197978,28.75814450612691,20.53484602917342,62,0.19475138121546962,10,MIN,0.0,['zierddo99w'],WE
abrossv01w,9,13.856045042762284,35.41804901395581,37.183637036459714,32.79092382495948,97,0.23487544483985764,10,CON,1.0,['thibami99w'],EA
abrossv01w,10,1.0374470595385503,2.8903295515937324,3.570901335544583,0.6936790923824959,17,0.2616822429906542,21,,,,
adamsjo01w,5,1.4326501036370607,3.6540444968321792,3.788755814687743,0.3889789303079417,13,0.2916666666666667,18,,,,
aguilel01w,4,1.3636526751168567,6.751878591424783,6.8088831949171125,0.5713128038897893,11,0.11347517730496454,20,,,,
ajavoma01w,10,7.346149393000885,17.32086196270002,20.618440166960198,18.110210696920582,27,0.1605960264900662,17,WAS,1.0,['plankju99w'],EA
ajavoma01w,11,7.192118580324868,18.61391022479036,21.464392532310054,19.503241491085898,37,0.1788756388415673,16,WAS,0.0,['laceytr99w'],EA
aldrima01w,2,1.9005356752594487,11.429257458430877,10.903382390070286,2.86547811993517,16,0.13602941176470587,14,WAS,0.0,['maherto99w'],EA
aldrima01w,3,0.08132220542741045,0.9454349000540246,1.0515960223058538,0.0,0,0.05714285714285714,10,,,,
alhalta01w,3,1.5355254711986983,7.3939529424914765,7.7980696556825135,2.246353322528363,23,0.19444444444444445,13,,,,
allench01w,10,0.40442943472864223,1.985413290113452,1.985413290113452,0.03970826580226904,4,0.14285714285714285,18,,,,
amachma01w,3,0.0,0.0,0.13813172241049065,0.0024311183144246355,0,0.6666666666666666,21,,,,
amachma01w,5,0.4116158203932249,1.1426256077795787,1.2954938863714043,0.26661264181523503,10,0.44680851063829785,18,,,,
amachma01w,7,0.0,0.0,0.1293148039587572,0.0,0,0.0,16,,,,
ambermo01w,4,0.0,0.0,0.0,0.0,0,0.0,14,,,,
anderam01w,8,0.0,0.0,0.0,0.0,2,2.0,26,,,,
anderam01w,8,0.0,0.0,0.0,0.007293354943273906,1,0.3333333333333333,11,,,,
anderch01w,5,1.3475675513577534,5.983866214822454,5.905131133048475,1.385737439222042,17,0.19883040935672514,19,SAC,1.0,['whisejo99w'],WE
anderch01w,6,2.434197573964875,7.312348055105349,8.977391932127343,1.6847649918962724,20,0.18614718614718614,18,SAS,0.0,['hugheda99w'],WE
anderch01w,7,7.568183185715274,25.27953307959864,27.757842760212068,12.469205834683954,62,0.16890881913303438,7,SAS,0.0,['hugheda99w'],WE
anderch01w,8,6.162247629457858,17.673361889326234,19.472925679348158,5.703403565640195,57,0.2463768115942029,13,SAS,1.0,['hugheda99w'],WE
anderch01w,9,1.3266613289428175,3.4846029173419772,3.8595285476888987,0.41815235008103724,14,0.3023255813953488,20,,,,
anderjo01w,10,2.8323535866877463,10.149597386226235,10.87800161830098,2.379254457050243,47,0.17983651226158037,21,,,,
anderke01w,2,2.5947938081083004,15.774859376489655,17.371992697251905,9.847649918962723,34,0.17050691244239632,14,CHA,1.0,['donovan99w'],EA
anderke01w,3,-0.2905396410832973,1.03322528363047,2.4311183144246358,0.4959481361426257,12,0.20588235294117646,18,CHA,1.0,['donovan99w'],EA
anderke01w,4,0.15157234338278153,0.7327120475418692,0.7327120475418692,0.0,4,0.1935483870967742,18,,,,
andrame01w,2,10.661991276387946,33.949424427544365,37.17523483912939,32.939222042139384,63,0.18318695106649938,17,CLE,1.0,['hugheda99w'],EA
andrame01w,3,5.736409140641568,25.814874842427514,28.825146359778323,44.143435980551054,66,0.16573348264277715,22,CLE,0.0,['hugheda99w'],EA
andrame01w,4,3.007424179124508,17.720516302363954,20.244265301272403,18.861426256077795,39,0.1368421052631579,10,,,,
andrame01w,6,0.2376900194907722,2.257467006251447,2.8489667747163696,0.0526742301458671,3,0.07692307692307693,16,,,,
anosini01w,10,16.661156299434715,32.65873983448315,39.142002110698044,87.9740680713128,153,0.3793478260869565,16,MIN,0.0,['gilloje01w'],WE
anosini01w,11,17.33930479945336,35.75670468793003,41.03396867274096,79.14424635332253,149,0.36941964285714285,14,WAS,0.0,['laceytr99w'],EA
arcaija01w,2,11.789881506333566,38.5673096319586,41.676768736623245,35.62803889789303,83,0.16786079836233367,27,HOU,1.0,['chancva99w'],WE
arcaija01w,3,22.216104572057223,41.88974472461655,48.05961524910155,58.91572123176662,87,0.17244367417677642,19,HOU,1.0,['chancva99w'],WE
arcaija01w,4,14.280867796502971,39.82848004121631,46.91495677796303,51.54943273905997,84,0.1639784946236559,24,HOU,1.0,['chancva99w'],WE
arcaija01w,5,16.264423159062705,44.18232386897973,49.13339619474357,38.6645056726094,112,0.15669014084507044,20,,,,
